title,subject
Alice's Adventures in Wonderland,"Alice (fictitious character : carroll), fiction,British and irish fiction (fictional works by one author),Fiction, fantasy, general,JUVENILE FICTION,classics,Fantasy & Magic,Imagination & Play,adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,coloring books,croquet,cuentos infantiles ingleses,curiosidad,curiosidad en los niños,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy fiction,fantasy in fiction,fantasy  magic,fantasía,ficción juvenil,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,juvenile literature,legends,literary nonsense,logic,lugares imaginarios,mythical animals,niñas,nonsense verses,novela,novela fantástica,novela juvenil,open library staff picks,picture books,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Alice (Fictitious character : Carroll),English language, textbooks for foreign speakers,Fantastique,Enfants,Affirmation de soi,Spanish language materials,Alicia (Personaje literario : Carroll),Spanish language,nyt:chapter-books=2010-02-21,New York Times bestseller,Literatura infanto-juvenil,Literatura inglesa,Carroll, lewis, 1832-1898,Children's literature, history and criticism,Children, books and reading,Crocheting,Fiction, general,Fantasy fiction, history and criticism,Toy and movable books,Imagination,Textbooks for foreign speakers,Readers for new literates,High interest-low vocabulary books,Science fiction,CUENTO INFANTIL INGLES,History and criticism,Translations into Irish,Irish literature,Swahili language,Accessible book,Protected DAISY,Internet Archive Wishlist,Ficc ʹa o (ge nero),Shi jie wen xue,Xiao shuo,Fantasi a,Tong hua,Suo xie,Shao er du wu,Pin yin du wu,Children's stories, Chinese,Chinese language,Translations into Polish,Ying yu,Yu yan du wu,Large type books,Decision making,Juvenile Wit and humor,Conduct of life,Illusion (Philosophy),Innocence (Psychology),Dreams,Courts and courtiers,Theft,Courts,Curiosité,Romans, nouvelles, etc. pour la jeunesse,Prise de décision,Humour pour la jeunesse,Morale pratique,Lieux imaginaires,Illusion (Philosophie),Rêves,Cartes à jouer,Cours et courtisans,Croquet (Jeu),Vol (Droit),Tribunaux,Histoires pour enfants anglaises,Literature, collections,Fiction, short stories (single author),Contes de fées,English fiction,Translations into Ladino,Nonsense literature,Fantasmes,Dinosaurier,Utdöda djur,Urtidsdjur,Forntiden,Geologi,Evolution,Jorden,Fantastiske fortællinger,Translations into Yiddish,Criticism and interpretation,History,Alice's adventures in Wonderland (Carroll, Lewis),Alice in Wonderland;,North"
The Wonderful Wizard of Oz,"Witches,Toy and movable books,Spanish language materials,Fiction,Wizards,Juvenile literature,Wizards in fiction,Children's stories, Russian,Specimens,Imaginary voyages in fiction,Classic Literature,Imaginary Voyages,Children's stories, American,Adventure and adventurers,Open Library Staff Picks,Books and reading,Children's stories,Witches in fiction,History,Juvenile fiction,Latin language materials,Fairy tales,Children,Contes americains,Ouvrages pour la jeunesse,Fantasy,Fantasy fiction,Fantastic fiction,Novela fantástica,Fantasía,Teenage girls,Quests (Expeditions),Oz (Imaginary place),Children's fiction,Oz (imaginary place), fiction,Fiction, fantasy, general,Young adult fiction,Fiction, science fiction, general,Wizards, fiction,Fantasy & Magic,Classics,Literature and fiction, juvenile,American Fantasy fiction,History and criticism,Large type books,Dorothy Gale (Fictional character),French language materials,American literature,Children: Babies Toddlers,Wizard of Oz (Fictitious character),Friendship,Courage,Adventure stories,Dorothy Gale (Fictitious character),Children's literature,General,Contes américains,Roman pour la jeunesse,Contes,Tong hua,Er tong wen xue,Han yu pin yin,Er tong du wu,Translations into Chinese,Suo xie ben,Chinese language materials,Ying yu,Dui zhao du wu,Han yu,Pictorial works,Robots, fiction,Science fiction,Criticism and interpretation,Wizard of Oz (Baum, L. Frank),Fiction, general,Film adaptations,Oz (Imaginary place) -- Juvenile fiction,Fantasy literature,Courage -- Juvenile fiction,Home -- Juvenile fiction,Good and evil -- Juvenile fiction,Dreams -- Juvenile fiction,Gale, Dorothy (Fictitious character) -- Juvenile fiction,Cowardly Lion (Fictitious character) -- Juvenile fiction,Cyclones -- Juvenile fiction,Scarecrow (Fictitious character from Baum) -- Juvenile fiction,Toto (Fictitious character) -- Juvenile fiction,Witches -- Juvenile fiction,Wizard of Oz (Fictitious character) -- Juvenile fiction,Tin Woodman (Fictitious character) -- Juvenile fiction,Adventure and adventurers, fiction,Witches, fiction,Scarecrow (Fictitious character : Baum),Tin Woodman (Fictitious character),Cowardly Lion (Fictitious character),Oz (Lieu imaginaire),Romans, nouvelles, etc. pour la jeunesse,Friendship, fiction,People with disabilities, fiction,Great britain, fiction,American fiction (fictional works by one author),Picture books,Fables,Toto (Fictitious character),Good and evil,Motion picture plays,Juvenile drama,JUVENILE FICTION / Fantasy & Magic"
Alice's Adventures in Wonderland / Through the Looking Glass,"adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,british and irish fiction (fictional works by one author),child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,classics,croquet,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy & magic,fantasy fiction,fantasy in fiction,fantasy  magic,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,imagination & play,juvenile fiction,juvenile literature,legends,literary nonsense,logic,mythical animals,nonsense verses,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Specimens,Textual Criticism,Criticism and interpretation,Open Library Staff Picks,Ficción juvenil,Novela fantástica,Portuguese language materials,Fantasía,History,History and criticism,CHR 1960,PRO Tehon, Susan (donor),Alice (Fictitious character : Carroll),PRO Tehon, Atha (former owner) (Tehon Collection copy),Littérature anglaise,18.05 English literature,Alice (fictitious character : carroll), fiction,Fiction, fantasy, general,Carroll, lewis, 1832-1898,Large type books,Translations into French,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Classics,JUVENILE FICTION / Fairy Tales & Folklore / Adaptations,English fiction (collections), 20th century,Rabbits, fiction,English fiction,Picture books,Alice (Fictitious character),Accessible book,Condensed books,Through the looking glass,Alice's adventures in Wonderland (Carroll, Lewis),Through the looking-glass (Carroll, Lewis),Literature,Translations into Polish,Imaginary Voyages,Literatură engleză,Roman,Literatură pentru copii,Novela fantástica inglesa,Traducciones al español,Literatura inglesa,Flickor,Barn- och ungdomslitteratur,Drömmar,Fantasiresor,Parallella världar,Fiction, general,Philosophy,Literature, collections,Tong hua,Zuo pin ji"
Le avventure di Pinocchio,"Accessible book,Fantasy,Puppets,Fiction,Fairy tales,Children's stories, Italian,Latin language,Readers,dormice,ringmasters,glowworrms,weasels,hanging,falcons,poodles,stagecoaches,owls,crows,funeral directors,rabbits,carpenters,Carabinieri,blackbirds,Classic Literature,Folklore,Illustrations,Italian language,Juvenile fiction,Juvenile literature,Puppet plays,boy,fairy tale,puppet,Ficción,Cuentos de hadas,Títeres,Children: Grades 1-2,Children's fiction,Adventure and adventurers, fiction,Pinocchio (fictitious character), fiction,Puppets, fiction,Fiction, fantasy, general,Italy, fiction,Contes,Pinocchio (Fictitious character),Specimens,Toy and movable books,Fairy tales.,Puppets -- Fiction.,Tong hua,General,Children's stories,Spanish language materials,Marionetas,Marionettes,Materiales en español,Honradez,Ficción juvenil,Verdad y mentira,Truthfulness and falsehood,Honesty,Padre e hijos,Fathers and sons,Titeres,Novela,Literatura infantil,Audio: Juvenile,Child and youth fiction,Pictorial works,Novela juvenil,Spanish language books,Spanish language,Children's literature,Italian,England, fiction,Fathers and daughters, fiction,Fiction, humorous, general,British and irish fiction (fictional works by one author),Friendship, fiction,Young women, fiction,Picture books,Italian language materials,Fantasy fiction,Contes de fées"
The Night Before Christmas,"Santa in juvenile prison,Juvenile poetry,Poetry,Santa Claus,Christmas,Christmas poetry,American poetry,Narrative poetry,Children's poetry, American,American Narrative poetry,Glow-in-the-dark books,Specimens,Christmas, poetry,Children's poetry,Santa claus, poetry,Poetry, juvenile,Children's fiction,Christmas, fiction,Picture books,Toy and movable books,Miniature books,Picture puzzles,American Manuscripts,Manuscripts,Facsimiles,Sound effects books,New York Times bestseller,nyt:picture_books=2011-04-16,JUVENILE FICTION / Holidays & Celebrations / Christmas & Advent,JUVENILE FICTION / Holidays & Celebrations / General (see also Religious / Christian / Holidays & Celebrations),LEGO toys,JUVENILE FICTION / Stories in Verse,JUVENILE FICTION / Classics,Juvenile literature,Board books,Stories in rhyme,Santa claus, fiction,Pictorial works,Holidays, fiction,JUVENILE FICTION / Religious / Christian / Family,JUVENILE FICTION / Religious / Christian / Holidays & Celebrations,.,Juvenile fiction,Christmas stories,Elmo (Fictitious character : Henson),Scented books,Cats,Fiction,JUVENILE NONFICTION / Poetry / General,Clement C. Moore,Corrine Malvern,Reindeer,Rooftops,Christmas Eve,Calendar,December 25,1822,Fireplace,Toy sack,Toys,Tree,Gifts,Stockings,Spanish language materials,Poesía juvenil,Rabbits,Sign language,Stereograms,Cartoons and comics,Holidays & Celebrations - Christmas & Advent,Children: Grades 1-2,American literature,Coloring books,Poésie de Noël,Deaf, education,Deaf, books for the,Carols,Noëls,Navidad,Poesia,Villancios,Garfield (fictitious character), fiction,Comic books, strips, etc.,Ballet, fiction,Fairy tales"
The Golden Age,"Fiction,Brothers and sisters,Country life,Juvenile fiction,Classic Literature,Fiction, coming of age,Brothers and sisters, fiction,England, fiction,Children's fiction,Siblings,Country life, fiction,Picture books,Siblings, fiction,Fiction, general"
El Libro de la selva / The Jungle Book,"Novela inglesa,Traducciones al español,Jungles,Fiction,Juvenile fiction,Animals,Romans, nouvelles, etc. pour la jeunesse,Novela juvenil,Selvas,Animales,Jungle animals,Mowgli (Fictitious character),Boys,Short stories,Feral children,English Adventure stories,Children's stories, English,Folklore,Legends and stories of Animals,Legends,Children's stories, American,India,Long Now Manual for Civilization,Wild children,Mowgli (Fictitious character) -- Fiction,Adventure stories, English,Jungle animals -- Fiction,Feral children -- Fiction,Boys -- Fiction,India -- Fiction,Children: Grades 1-2,Mongooses,Children's fiction,Jungles, fiction,Jungle animals, fiction,Mowgli (fictitious character), fiction,India, fiction,Stories,Boys, fiction,Adventure and adventurers, fiction,British and irish fiction (fictional works by one author),Drama (dramatic works by one author),Animals, fiction,Faune de la jungle,Romans, nouvelles,Enfants sauvages,Garçons,Histoires pour enfants anglaises,Adventure stories,English literature,History,Classic Literature,Mowgli (Personnage fictif),Animaux,Romans,Human-animal relationships,Juvenile literature,Animals -- Fiction,Jungles -- Fiction,nyt:hardcover-graphic-books=2009-04-05,New York Times bestseller,Readers,Reporters and reporting,Picture books,Children, fiction,Graphic novels,Comic books, strips,Children's stories,Spanish language materials,Ficción juvenil,Animales de jungla,English fiction,English Short stories"
Heidi,"Johanna Spyri,Shirley Temple,Movie tie-in,Children,Babies,Toddlers,Grades 3-4,Children's,Kid's,Juvenile,Adult,Fiction,Classic,Literature,Stories,Story,Book,Picture Books,Chapter books,Hardcover,Paperback,Braille,Audio book,e-book,Family,5 Year old,Orphan,Heidi (fictional character),Grandfather,Nature,Love of nature,Goats,Mountain life,Swiss Alps,Swiss (German),History,Invalids,Grandfathers,Juvenile fiction,Orphans,Children's fiction,Grandparents, fiction,Orphans, fiction,Switzerland, fiction,Fiction, general,Girls, fiction,Grandparent-grandchild relationship,Juvenile literature,Switzerland,Alps, fiction,Family life, fiction,Short stories,Heidi (Fictitious character : Spyri),Grandparent and child,Classics"
The Very Hungry Caterpillar (Storytime Giants),"Children's fiction,Caterpillars, fiction,Toy and movable books,Fiction,Caterpillars,German language materials,Italian language materials,Specimens,Translations into Chinese,Chinese language edition,Caterpillar,Translations into Vietnamese,Metamorphosis,Spanish language materials,Children's stories, American,Open Library Staff Picks,Children's stories, English,Butterflies,Juvenile,Juvenile fiction,Board books,Translations into Urdu,Children's stories, Chinese,Libros de juguete y movibles,Muestras,Orugas,Especímenes,Novela juvenil,Libros de juguete y móviles,Butterflies, fiction,Picture books for children,Flowers, fiction,Fiction..,Littérature de jeunesse anglaise,Chenilles,Caterpillers,Papillons,Metamorphis,Ouvrages illustrés,Métamorphose,nyt:picture-books=2009-04-05,New York Times bestseller,Metamorfosis (Biología),Mariposas,Ficción juvenil,Bilingual,Child and youth fiction,Picture books,Animals,Children's stories,Pictorial works,Touch,Textured books,Histoires pour enfants,Livres tout carton,Toucher,Livres tactiles,Children's Books/Baby-Preschool,Espagnol (langue),Ouvrages pour la jeunesse,Children's stories, Kyrgyz"
Bambi (First Colouring Tall),"Deer,Fiction,Juvenile fiction,Bambi (Fictitious character),Deer in fiction,Folklore,Juvenile literature,Legends and stories,Legends,Legends and stories of Animals,Biography,Children's fiction,Deer, fiction,Bambi (fictitious character), fiction,Picture books,Forest animals,Picture books for children,Fawns,Child and youth fiction,Детская литература -- Издания для младшего возраста -- Австрийская литература -- Переводы,Филологические науки. Художественная литература --Детская литература -- Произведения зарубежной литературы, изданные в Российской Федерации -- Издания для младшего возраста -- Австрия -- Австрийская детская литература"
